Current_Ver,Ver_Mon,Ver_Year,And_1st_Ver,And_Last_Ver
1.0.0,7.0,2018.0,11.0,11.0
1.1,3.0,2017.0,4.0,11.0
7.3.0,7.0,2018.0,4.0,11.0
2.4.0,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.3.0,11.0,2017.0,4.0,11.0
6.17.2,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
2.5.1,9.0,2017.0,4.0,11.0
3.17.0+3,6.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
5.12.4,6.0,2018.0,4.0,11.0
2.5.1,9.0,2017.0,4.0,11.0
3.7,7.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
5.10.5,8.0,2018.0,4.0,11.0
2.6.3,7.0,2018.0,4.0,11.0
4.5.19.56,5.0,2018.0,4.0,11.0
5.9,1.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,4.0,11.0
4.4.0,5.0,2018.0,5.0,11.0
3.5,8.0,2018.0,4.0,11.0
1.31.0,7.0,2018.0,4.0,11.0
1.3.0,6.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.0.22,6.0,2018.0,2.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
8.9.3,6.0,2018.0,4.0,11.0
4.18.0,7.0,2018.0,4.0,11.0
2018.6,6.0,2018.0,5.0,11.0
2.46.1,8.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
3.21.324,7.0,2018.0,4.0,11.0
7.0.2,8.0,2018.0,4.0,11.0
5.3.0,11.0,2017.0,4.0,11.0
2.5.7.1,8.0,2018.0,5.0,11.0
3.17.0+3,6.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
7.1,6.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.9,6.0,2018.0,4.0,11.0
1.0,10.0,2016.0,2.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
6.5,7.0,2018.0,4.0,11.0
6.17.2,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
2.28.1,7.0,2018.0,4.0,11.0
7.8.0,8.0,2018.0,5.0,11.0
5.4,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.17.2,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
1.2.0,7.0,2018.0,4.0,11.0
7.8.0,8.0,2018.0,5.0,11.0
2.5.1,9.0,2017.0,4.0,11.0
4.4.15,8.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
7.1.0,3.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
3.2.12,5.0,2018.0,4.0,11.0
6.9.12,4.0,2018.0,2.0,11.0
3.0.13,4.0,2018.0,4.0,11.0
1.0.0,8.0,2016.0,11.0,11.0
7.1,6.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.3.1,8.0,2018.0,4.0,11.0
5.5.9,7.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
6.17.2,7.0,2018.0,4.0,11.0
6.1.3,5.0,2018.0,2.0,11.0
2017.7.1,7.0,2018.0,4.0,11.0
1.31.0,7.0,2018.0,4.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
7.8.0,8.0,2018.0,5.0,11.0
9.4.0,6.0,2018.0,4.0,11.0
7.1.7.4,7.0,2018.0,4.0,11.0
2.5.1,9.0,2017.0,4.0,11.0
7.3.0,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.4.15,8.0,2018.0,5.0,11.0
2.5.7.1,8.0,2018.0,5.0,11.0
2018.6,6.0,2018.0,5.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,12.0,2016.0,11.0,11.0
18.30.0,8.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,6.0,2018.0,5.0,11.0
7.5.0,6.0,2018.0,5.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
10.9.8 (Play),6.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.48,8.0,2018.0,4.0,11.0
4.6.0,3.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
6.7.1,7.0,2018.0,4.0,11.0
1.10.0.205086730,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.6,7.0,2018.0,4.0,11.0
17.4.1,6.0,2018.0,4.0,11.0
9.2.17.13,6.0,2018.0,4.0,11.0
5.2.0 21127,8.0,2018.0,4.0,11.0
5.6.1,7.0,2018.0,6.0,11.0
5.10.6.2.8466393,12.0,2016.0,4.0,11.0
1.0.0,1.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
5.0.4,7.0,2018.0,4.0,11.0
18.30.0,8.0,2018.0,5.0,11.0
3.9.7,8.0,2018.0,4.0,11.0
5.16.1,7.0,2018.0,4.0,11.0
3.1.3,7.0,2018.0,5.0,11.0
4.4.7,5.0,2018.0,4.0,11.0
4.0.9.1,7.0,2018.0,4.0,11.0
10.7.8.111,1.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.1.2,8.0,2018.0,5.0,11.0
1.0.0,1.0,2018.0,11.0,11.0
10.7.8.111,1.0,2018.0,4.0,11.0
4.1.21,8.0,2018.0,4.0,11.0
3.4.5,8.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
8.13.3,8.0,2018.0,5.0,11.0
7.8.0,7.0,2018.0,11.0,11.0
13.0.16,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.13.2,7.0,2018.0,5.0,11.0
5.48,8.0,2018.0,4.0,11.0
9.1.0,7.0,2018.0,4.0,11.0
11.0.269 (m),1.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.5.26,3.0,2018.0,4.0,11.0
8.60.0.2586,7.0,2018.0,4.0,11.0
4.38.176,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
6.2.3,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
8.8.2,7.0,2018.0,4.0,11.0
2.1.56,7.0,2018.0,5.0,11.0
8.0,7.0,2018.0,4.0,11.0
5.7.3,7.0,2018.0,4.0,11.0
7.3.3,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2016.0,11.0,11.0
2.3,8.0,2017.0,4.0,11.0
1.2.1,3.0,2016.0,4.0,11.0
4.0.21,7.0,2016.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
11.26,7.0,2018.0,4.0,11.0
8.8.2,7.0,2018.0,5.0,11.0
4.38.176,7.0,2018.0,4.0,11.0
2.1.56,7.0,2018.0,5.0,11.0
18.30.0,8.0,2018.0,5.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
17.7.8,8.0,2018.0,4.0,11.0
4.20,7.0,2018.0,4.0,11.0
5.6.1,7.0,2018.0,6.0,11.0
7.6.5,4.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.4.2,7.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,5.0,11.0
3.6.6,7.0,2018.0,4.0,11.0
4.13.2,7.0,2018.0,5.0,11.0
4.7.1,8.0,2018.0,5.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
9.7.1,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.48,8.0,2018.0,4.0,11.0
7.2.5,7.0,2018.0,4.0,11.0
2.32.2,7.0,2018.0,4.0,11.0
4.1.3,7.0,2018.0,4.0,11.0
1.24.5,5.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.38.176,7.0,2018.0,4.0,11.0
53.89.55,4.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
18.30.0,8.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.48,8.0,2018.0,4.0,11.0
4.15.1,8.0,2018.0,4.0,11.0
v5.4.3,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.7.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.9.2,11.0,2017.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
18.21.0,8.0,2018.0,5.0,11.0
4.0.38,8.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.48,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
8.1.171,6.0,2018.0,4.0,11.0
8.0,7.0,2015.0,4.0,11.0
3.19.35.999,7.0,2018.0,4.0,11.0
4.0.3,7.0,2018.0,4.0,11.0
1.0.0,8.0,2016.0,11.0,11.0
1.28.1,8.0,2018.0,5.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
13.8.3,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
v3.7.93,2.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.02.53,11.0,2014.0,4.0,11.0
1.0.0,1.0,2016.0,11.0,11.0
3.1.2,7.0,2018.0,4.0,11.0
0.2.32,6.0,2018.0,8.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.0,11.0,2017.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2016.0,11.0,11.0
MyMetro_HTML_2.0_430029,6.0,2018.0,4.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
7.6.1,7.0,2018.0,4.0,11.0
v8.0.1.8.0629.1,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,11.0,2014.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
2.1.02.4477839,1.0,2018.0,7.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
8.1.6,7.0,2018.0,4.0,11.0
4.5.28_ww,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.204375696,7.0,2018.0,5.0,11.0
1.0.0,3.0,2017.0,11.0,11.0
1.7.4,8.0,2018.0,7.0,11.0
v7.0.7.1.0625.1_06_0629,8.0,2018.0,5.0,11.0
6.0.61.5,7.0,2018.0,7.0,11.0
11.7.0,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,3.0,2017.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,6.0,2018.0,7.0,11.0
3.2,4.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
v7.0.9.1.0526.1_06_0704,7.0,2018.0,5.0,11.0
1.0.0,1.0,2017.0,11.0,11.0
1.0.0,5.0,2017.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.2.6.7,5.0,2018.0,4.0,11.0
1.8.203182757.armeabi-v7a.release,7.0,2018.0,8.0,11.0
5.36,8.0,2018.0,4.0,11.0
1.5.0,11.0,2017.0,6.0,11.0
9.7.753080,4.0,2014.0,4.0,11.0
9.7.753080,4.0,2014.0,4.0,11.0
9.7.753080,4.0,2014.0,4.0,11.0
10.4,6.0,2018.0,4.0,11.0
1.2.5,3.0,2018.0,4.0,11.0
3.1.0.1126,8.0,2018.0,4.0,11.0
1.0.0,1.0,2018.0,11.0,11.0
3.4.0,5.0,2018.0,4.0,11.0
1.0.0,3.0,2018.0,11.0,11.0
1.4.9,7.0,2018.0,4.0,11.0
2.4,7.0,2017.0,3.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,12.0,2017.0,11.0,11.0
1.0.0,12.0,2017.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.4.0,5.0,2018.0,2.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.4.1,7.0,2018.0,4.0,11.0
3.2,7.0,2017.0,3.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.5.2,10.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.5.6,7.0,2018.0,4.0,11.0
1.0.0,1.0,2018.0,11.0,11.0
32.1,11.0,2017.0,4.0,11.0
1.17,4.0,2016.0,2.0,11.0
2.1.54,7.0,2018.0,4.0,11.0
2.2.7,5.0,2018.0,4.0,11.0
1.0.0,8.0,2015.0,11.0,11.0
3.1.00,6.0,2017.0,4.0,11.0
1.0.0,3.0,2018.0,11.0,11.0
1.51,2.0,2018.0,3.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
20180517,5.0,2018.0,2.0,11.0
4.0.6,7.0,2017.0,4.0,11.0
2.1.0,9.0,2017.0,5.0,11.0
2.0.9,2.0,2018.0,4.0,11.0
6.0.1,7.0,2018.0,4.0,11.0
1.6.11,5.0,2018.0,4.0,11.0
2.0.2,7.0,2018.0,4.0,11.0
6.1.0,8.0,2018.0,4.0,11.0
3.0.5,5.0,2018.0,4.0,11.0
2.27.1,7.0,2018.0,4.0,11.0
2.5.1.7592,7.0,2018.0,4.0,11.0
4.1.0,7.0,2018.0,4.0,11.0
v150,4.0,2018.0,4.0,11.0
4.3.0,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.20.1,4.0,2017.0,2.0,11.0
3.4.500,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
3.11.2,4.0,2018.0,6.0,11.0
4.78.06,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.06.14,8.0,2018.0,4.0,11.0
4.32.07,8.0,2018.0,4.0,11.0
5.0.0.8,8.0,2018.0,4.0,11.0
1.0.0,9.0,2016.0,11.0,11.0
1.0.0,5.0,2016.0,2.0,11.0
1.0.0,3.0,2018.0,11.0,11.0
1.0.19,4.0,2014.0,2.0,11.0
1.33,7.0,2018.0,4.0,11.0
3.1.2,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.1.7.5,6.0,2018.0,4.0,11.0
1.7.3,11.0,2017.0,3.0,11.0
1.3,2.0,2016.0,4.0,11.0
7.2.0,4.0,2018.0,2.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.17.4,12.0,2017.0,2.0,11.0
v3.9f,11.0,2017.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.1,2.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.6.21_pre,8.0,2018.0,4.0,11.0
5.34.10,6.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,4.0,11.0
1.284.1.83,7.0,2018.0,4.0,11.0
2.1.2,7.0,2018.0,5.0,11.0
5.41.0,8.0,2018.0,4.0,11.0
2.6.2.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.1,9.0,2017.0,4.0,11.0
1.1,3.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.4,7.0,2018.0,4.0,11.0
1.284.1.126,7.0,2018.0,4.0,11.0
3.5,6.0,2018.0,4.0,11.0
2.1.9,7.0,2018.0,4.0,11.0
6.7.1,7.0,2018.0,4.0,11.0
2.6.0,8.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.5.5.9,8.0,2018.0,4.0,11.0
3.9.7,8.0,2018.0,4.0,11.0
1.8.0.24_180511,5.0,2018.0,5.0,11.0
1.2.7,2.0,2018.0,4.0,11.0
6.7.5,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.12.0.44682,8.0,2018.0,4.0,11.0
1.8,7.0,2018.0,4.0,11.0
3.3.a,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.2,7.0,2018.0,4.0,11.0
2.0.0.39_171124,12.0,2017.0,5.0,11.0
3.2.5,5.0,2018.0,4.0,11.0
1.9.1.180419172630.4a15962,5.0,2018.0,5.0,11.0
6.7.25.2018,7.0,2018.0,4.0,11.0
6.7.5,7.0,2018.0,4.0,11.0
2.3.27,7.0,2018.0,4.0,11.0
40.0,12.0,2017.0,4.0,11.0
1.14,6.0,2018.0,4.0,11.0
6.7.24.2018,7.0,2018.0,4.0,11.0
1.9.2.180419172639.dbf3246,5.0,2018.0,5.0,11.0
1.57,4.0,2018.0,2.0,11.0
6.6.28,6.0,2018.0,4.0,11.0
1.2.5,7.0,2018.0,4.0,11.0
2.11.5,1.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.13,1.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,11.0,2016.0,11.0,11.0
2.60,3.0,2015.0,3.0,11.0
5.7.8,8.0,2016.0,2.0,11.0
5.7.6,10.0,2016.0,2.0,11.0
4.3.2,12.0,2016.0,4.0,11.0
1.7.2,5.0,2016.0,4.0,11.0
3.5.6,4.0,2014.0,1.0,11.0
1.1,1.0,2015.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
2.85,3.0,2018.0,4.0,11.0
11.0,11.0,2017.0,4.0,11.0
3.6,5.0,2018.0,4.0,11.0
1.1.8,9.0,2017.0,2.0,11.0
1.3,12.0,2016.0,2.0,11.0
4.0,10.0,2017.0,4.0,11.0
3.0.5,7.0,2018.0,4.0,11.0
2.41,5.0,2014.0,2.0,11.0
2.4.25,6.0,2018.0,4.0,11.0
4.0.0.7,7.0,2018.0,4.0,11.0
4.8.3,1.0,2018.0,4.0,11.0
1.7.1,11.0,2016.0,3.0,11.0
2.7.2,5.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.1,5.0,2018.0,4.0,11.0
4.1,5.0,2018.0,4.0,11.0
1.9,6.0,2014.0,2.0,11.0
6.07,7.0,2018.0,4.0,11.0
7.5,10.0,2017.0,4.0,11.0
18.0,5.0,2018.0,4.0,11.0
18.0,5.0,2018.0,4.0,11.0
18.0,5.0,2018.0,4.0,11.0
15.0,10.0,2017.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.9.7.07,11.0,2017.0,4.0,11.0
2.32,3.0,2015.0,11.0,11.0
1.0.0,12.0,2017.0,11.0,11.0
2.5.9,6.0,2018.0,2.0,11.0
1.0.0,3.0,2018.0,11.0,11.0
4.8.2.2195,8.0,2018.0,4.0,11.0
1,6.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1,6.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,4.0,11.0
5.0,5.0,2016.0,4.0,11.0
16.0.10325.20043,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
4.6.4,6.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.8.4,7.0,2018.0,4.0,11.0
68.0.3440.91,8.0,2018.0,11.0,11.0
2.2.194,8.0,2018.0,4.0,11.0
1.0.0,10.0,2017.0,11.0,11.0
16.0.10325.20059,7.0,2018.0,4.0,11.0
3.1.1,7.0,2018.0,4.0,11.0
1.2.5,8.0,2018.0,4.0,11.0
0.1.187945513,3.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
16.0.10325.20024,7.0,2018.0,4.0,11.0
1.0.0,8.0,2017.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.1.4,4.0,2016.0,4.0,11.0
4.1.8.2.2,8.0,2018.0,4.0,11.0
1.0.0,4.0,2017.0,11.0,11.0
1.0.0,12.0,2017.0,11.0,11.0
2.1.5,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.10.0.33_180403,4.0,2018.0,5.0,8.0
1.0.0,12.0,2017.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,3.0,2018.0,11.0,11.0
4.0.5,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.5.12,6.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
2.2.1B216,8.0,2016.0,2.0,11.0
8.0.1.0,8.0,2018.0,11.0,11.0
16.0.10325.20043,7.0,2018.0,4.0,11.0
3.2.258b ae1da5165,6.0,2018.0,4.0,11.0
4.3.2.0,8.0,2018.0,4.0,11.0
1.0.0,1.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
v1.39.3,12.0,2016.0,2.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.0.44,4.0,2018.0,4.0,11.0
3.2.1,12.0,2015.0,4.0,11.0
1.7.9,5.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
12.1.0,7.0,2018.0,4.0,11.0
17.7.20,10.0,2017.0,4.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
4.4.1,3.0,2018.0,4.0,11.0
12.8.2,8.0,2018.0,4.0,11.0
9.3.5776,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
5.0.1.11068-production,7.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
2.4.5,6.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,5.0,11.0
3.5.0,1.0,2016.0,11.0,11.0
4.1.8.2.2,8.0,2018.0,4.0,11.0
1.7.3,6.0,2017.0,2.0,11.0
6.4.0,7.0,2018.0,4.0,11.0
2.1.3,9.0,2013.0,2.0,11.0
2.2.2,11.0,2017.0,2.0,11.0
1.0.0,12.0,2016.0,11.0,11.0
2.5.4,7.0,2018.0,4.0,11.0
3.5.9,7.0,2018.0,4.0,11.0
16.0.10325.20043,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
1.0.0,10.0,2017.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
16.0.10325.20059,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
7.3.30,7.0,2018.0,4.0,11.0
16.0.10325.20043,7.0,2018.0,4.0,11.0
11.1.3,7.0,2018.0,4.0,11.0
16.0.10325.20024,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
4.2.11,10.0,2016.0,11.0,11.0
2.0.1,12.0,2016.0,2.0,11.0
1.35.2,3.0,2018.0,2.0,11.0
13.4,8.0,2017.0,4.0,11.0
2.4,10.0,2016.0,2.0,11.0
3.4.4.4-GP,7.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
4.3.19,6.0,2018.0,2.0,11.0
12.8.2-pi,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
12.8.2,8.0,2018.0,4.0,11.0
16.0.10325.20024,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.07.59,1.0,2017.0,4.0,11.0
4.0.7.3,4.0,2016.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.167,7.0,2018.0,4.0,11.0
4.4.1,3.0,2018.0,4.0,11.0
1.26.2,5.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.30.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
2.3.3-play,8.0,2016.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.9.1.147.0-google,1.0,2018.0,4.0,11.0
4.4.0.4,5.0,2018.0,2.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.2.2,11.0,2017.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.7,8.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.7,4.0,2018.0,4.0,11.0
2.15.2714,5.0,2018.0,4.0,11.0
1.0,1.0,2017.0,2.0,11.0
3.2,6.0,2018.0,4.0,11.0
2.9.9,7.0,2018.0,4.0,11.0
1.2.5,7.0,2018.0,4.0,11.0
4.7,5.0,2018.0,4.0,11.0
8.25.10.00,6.0,2018.0,4.0,11.0
1.9,4.0,2018.0,2.0,11.0
1.4.0,7.0,2018.0,4.0,11.0
1.3.1,5.0,2018.0,4.0,11.0
2.04.2714,5.0,2018.0,4.0,11.0
2.10,12.0,2017.0,4.0,11.0
8.2,8.0,2018.0,4.0,11.0
2.03.2714,5.0,2018.0,4.0,11.0
2.7,6.0,2018.0,4.0,11.0
1.0,5.0,2018.0,4.0,11.0
3.0,8.0,2016.0,4.0,11.0
1.1,3.0,2018.0,4.0,11.0
1.5.3.1807,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,4.0,11.0
1.2,8.0,2018.0,4.0,11.0
1.5,6.0,2018.0,4.0,11.0
2.3.1,8.0,2018.0,5.0,11.0
1.6.0,12.0,2017.0,4.0,11.0
1.0.6,5.0,2018.0,4.0,11.0
